Vulnerability id,Component name,Component version,Component origin,Security risk,Base score,CWE,Remediation status,Description
CVE-2020-36518,jackson-databind,2.9.12,pypi,HIGH,7.5,CWE-20,DUPLICATE,Java StackOverflow / DoS in jackson-databind via deeply nested JSON arrays during deserialization.
CVE-2022-22965,spring-beans,5.3.19,pypi,CRITICAL,9.8,CWE-125,NEW,Spring4Shell: data-binding on Class objects allows remote code execution on JDK 9+ with a WAR deploy.
CVE-2022-1471,snakeyaml,1.32,github,CRITICAL,9.8,CWE-787,NEW,SnakeYAML Constructor allows arbitrary object deserialization leading to remote code execution.
CVE-2024-35195,requests,2.30.2,pypi,MEDIUM,5.6,CWE-502,REMEDIATION_REQUIRED,"requests Session reuses a verify=False setting for later requests to the same host, silently skipping TLS verification."
CVE-2023-32681,requests,2.28.2,npmjs,MEDIUM,6.1,CWE-79,NEEDS_REVIEW,requests leaks the Proxy-Authorization header to the destination server on HTTPS redirect.
CVE-2023-45803,urllib3,2.0.6,github,MEDIUM,4.2,CWE-787,DUPLICATE,"urllib3 does not strip the request body when a 303 redirect changes the method to GET, leaking data."
CVE-2024-37891,urllib3,1.26.19,alpine,MEDIUM,4.4,CWE-94,IGNORED,urllib3 forwards Proxy-Authorization to the target host across a cross-origin redirect.
CVE-2024-24680,Django,4.2.3,alpine,HIGH,7.5,CWE-400,PATCHED,Denial of service in Django intcomma template filter via very long inputs.
CVE-2024-27351,Django,4.1.9,github,HIGH,7.5,CWE-94,NEW,Regular-expression denial of service in Django Truncator.words / urlize on long HTML inputs.
CVE-2023-30861,Flask,2.2.4,pypi,HIGH,7.5,CWE-502,NEEDS_REVIEW,Flask may cache and cross-serve a response containing a session cookie to the wrong client behind a proxy.
CVE-2024-22195,Jinja2,3.1.4,github,MEDIUM,5.4,CWE-502,REMEDIATION_REQUIRED,Jinja2 xmlattr filter allows HTML attribute injection / XSS via crafted attribute keys.
CVE-2025-27516,Jinja2,3.1.5,github,MEDIUM,5.4,CWE-125,DUPLICATE,Jinja2 |attr filter sandbox bypass allows access to unintended Python attributes.
CVE-2023-49083,cryptography,41.0.4,alpine,HIGH,7.5,CWE-20,NEW,"NULL-pointer dereference in pyca/cryptography when loading a PKCS7 certificate, causing a crash."
CVE-2024-26130,cryptography,42.0.2,github,HIGH,7.5,CWE-125,NEW,pyca/cryptography NULL dereference when a PKCS12 file has a certificate but no private key.
CVE-2024-34069,Werkzeug,2.3.9,maven,HIGH,7.5,CWE-400,REMEDIATION_REQUIRED,"Werkzeug interactive debugger PIN can be brute-forced remotely, enabling code execution on a debug server."
CVE-2023-46136,Werkzeug,2.3.8,maven,HIGH,7.5,CWE-79,REMEDIATION_REQUIRED,"Werkzeug multipart parser exhausts CPU on a crafted upload, causing denial of service."
CVE-2024-6345,setuptools,65.5.2,npmjs,HIGH,7.5,CWE-79,PATCHED,Remote code execution in setuptools package_index via a malicious URL passed to easy_install/download.
CVE-2022-40897,setuptools,58.0.2,maven,MEDIUM,5.9,CWE-79,DUPLICATE,Regular-expression denial of service in setuptools package_index HTML parsing.
CVE-2023-50447,Pillow,10.1.2,npmjs,CRITICAL,8.1,CWE-20,IGNORED,Pillow ImageMath.eval allows arbitrary code execution via crafted environment keys.
CVE-2024-28219,Pillow,10.2.2,alpine,HIGH,7.3,CWE-79,IGNORED,Buffer overflow in Pillow _imagingcms.c via strcpy on a long ICC profile name.
CVE-2024-23334,aiohttp,3.9.3,maven,HIGH,7.5,CWE-787,REMEDIATION_REQUIRED,Directory traversal in aiohttp static file handler when follow_symlinks is enabled.
CVE-2020-14343,PyYAML,5.3.3,npmjs,CRITICAL,9.8,CWE-125,PATCHED,Arbitrary code execution in PyYAML full_load / FullLoader via crafted YAML tags.
CVE-2023-37920,certifi,2023.5.9,debian,HIGH,7.5,CWE-94,DUPLICATE,certifi bundled the compromised e-Tugra root CA; removed to prevent trusting mis-issued certificates.
CVE-2021-23337,lodash,4.17.22,alpine,HIGH,7.2,CWE-79,NEEDS_REVIEW,Command injection in lodash template via a crafted options.sourceURL / property path.
CVE-2021-44906,minimist,1.2.7,alpine,CRITICAL,9.8,CWE-94,IGNORED,Prototype pollution in minimist allows overwriting Object.prototype via crafted --__proto__ arguments.
CVE-2023-45857,axios,1.5.2,github,MEDIUM,6.5,CWE-787,PATCHED,axios leaks the XSRF-TOKEN in the X-XSRF-TOKEN header to third-party hosts on cross-site redirects.
CVE-2024-28849,axios,1.6.9,npmjs,MEDIUM,6.5,CWE-400,NEEDS_REVIEW,follow-redirects (via axios) leaks the Proxy-Authorization header across hosts on redirect.
CVE-2022-25883,semver,7.3.9,github,HIGH,7.5,CWE-400,PATCHED,Regular-expression denial of service in the node-semver range parser via crafted version strings.
CVE-2024-37890,ws,8.11.2,github,HIGH,7.5,CWE-79,NEEDS_REVIEW,Denial of service in the ws WebSocket library via a request with many HTTP headers.
CVE-2024-28863,tar,6.1.13,alpine,MEDIUM,6.5,CWE-94,DUPLICATE,node-tar denial of service via memory exhaustion when extracting a crafted tar archive.
CVE-2023-39325,golang.org/x/net,0.7.2,alpine,HIGH,7.5,CWE-400,PATCHED,HTTP/2 rapid-reset: unbounded stream creation/cancellation causes denial of service in Go net/http.
CVE-2023-48795,golang.org/x/crypto,0.16.2,alpine,MEDIUM,5.9,CWE-94,DUPLICATE,Terrapin: SSH transcript truncation attack downgrades the secure channel during handshake.
CVE-2024-6387,openssh-server,9.2p1.3,alpine,HIGH,8.1,CWE-125,PATCHED,regreSSHion: signal-handler race condition in OpenSSH sshd allows unauthenticated remote code execution as root on glibc-based Linux.
CVE-2023-38408,openssh-client,8.9p1.3,debian,CRITICAL,9.8,CWE-20,PATCHED,Remote code execution in ssh-agent PKCS#11 forwarding via a crafted agent-forwarding request.
CVE-2023-51385,openssh-server,8.4p1.3,pypi,MEDIUM,6.5,CWE-787,REMEDIATION_REQUIRED,OS command injection via ProxyCommand when an untrusted user/hostname contains shell metacharacters.
CVE-2022-3602,openssl,3.0.8,maven,HIGH,7.5,CWE-125,REMEDIATION_REQUIRED,X.509 email address 4-byte stack buffer overflow during punycode decoding of a crafted certificate.
CVE-2022-3786,openssl,3.0.9,github,HIGH,7.5,CWE-400,REMEDIATION_REQUIRED,"X.509 email address variable-length buffer overflow in punycode decoding, causing denial of service."
